YEAR,DOY,rain(mm),humidity,temp
2023,140,0,26.44,34.5
2023,141,0,25.19,35.6
2023,142,0,24.88,36.55
2023,143,1.6,29.5,36.28
2023,144,2.22,39.62,33.53
2023,145,7.46,41.56,31.94
2023,146,9.54,58.81,29.75
2023,147,4.52,64.75,28.94
2023,148,2.44,57.62,29.42
2023,149,3.45,58.06,28.9
2023,150,12.86,57.88,28.19
2023,151,6.09,66.06,25.23
2023,152,0.56,57.06,27.18
2023,153,0.02,52.5,28.2
2023,154,0.2,43.44,30.3
2023,155,0.01,44.69,31.06
2023,156,0.12,43.12,32.33
2023,157,0.88,42.88,32.77
2023,158,0,42.25,32.09
2023,159,0.1,40.88,33.72
2023,160,1.31,40.12,35.27
2023,161,3.33,45.62,35.14
2023,162,0.02,43.69,34.15
2023,163,0,40.5,35.51
2023,164,0,36.81,36.19
2023,165,0.03,38.12,35.65
2023,166,0.45,43.75,33.83
2023,167,2.31,44.12,34.94
2023,168,3.73,49.88,32.34
2023,169,1.44,53.19,32.76
2023,170,1.81,46.25,34.51
2023,171,2.87,45.81,35.3
2023,172,5.78,50.69,35.08
2023,173,5.63,55.75,34.6
2023,174,1.14,49.62,35.79
2023,175,24.49,64.5,33.53
2023,176,17.87,66.94,31.77
2023,177,9.4,65.25,31.19
2023,178,6.37,67.38,30.96
2023,179,9.22,66,31.76
2023,180,9.83,69.12,30.93
2023,181,5.07,69.25,30.7
2023,182,0.52,62.69,31.26
2023,183,0.25,59.19,33.55
2023,184,0.15,54.25,34.53
2023,185,16.14,62.5,33.54
2023,186,10.01,68.94,31.59
2023,187,4.29,75.38,30.19
2023,188,3.6,75.56,29.65
2023,189,26.75,78.69,29.68
2023,190,24.36,79.38,30.04
2023,191,22.4,84.31,29.12
2023,192,4.24,75.62,30.66
2023,193,5.52,77.12,30.34
2023,194,4.28,75.12,30.48
2023,195,2.61,76.38,30.16
2023,196,16.39,74.38,30.75
2023,197,8.92,82.88,29.73
2023,198,6.75,81.25,29.98
2023,199,2.41,80.31,30.23
2023,200,0.58,78.81,29.81
2023,201,0.06,72.94,31.9
2023,202,4.13,74.56,31.58
2023,203,0.62,78.56,30.34
2023,204,1.24,77.31,30.34
2023,205,0.16,74.31,30.99
2023,206,20.33,81.12,30.58
2023,207,5.67,81.88,29.59
2023,208,10.62,82.69,29.52
2023,209,10.86,84.38,28.75
2023,210,3.24,84.06,29.34
2023,211,7.66,78.88,30.53
2023,212,4.09,75.62,30.99
2023,213,0.26,73.56,31.76
2023,214,1.65,73.31,31.85
2023,215,4.32,73.31,31.93
2023,216,3.79,75.12,31.66
2023,217,13.93,75.12,31.02
2023,218,0.24,70.06,31.64
2023,219,0.01,72.25,31.18
2023,220,0.03,72,30.99
2023,221,0.15,69.81,31.34
2023,222,0.45,70.62,30.88
2023,223,0.03,69.44,30.95
2023,224,0.03,65.5,31.05
2023,225,0.11,67.25,31.1
2023,226,0.02,72.44,29.29
2023,227,2.72,65.94,30.98
2023,228,1.62,67.25,31.47
2023,229,0.08,64.5,32.01
2023,230,3.29,64.81,31.84
2023,231,5.56,74,31.08
2023,232,0.39,68.5,32.12
2023,233,0.06,64.38,32.5
2023,234,7.45,65.81,32.77
2023,235,3.54,67.25,30.66
2023,236,0,64,30.83
2023,237,0.2,61,31.37
2023,238,0.01,59.69,30.88
2023,239,0.33,60.69,31.21
2023,240,1.79,62.62,31.39
2023,241,0.05,65.31,30.71
2023,242,0,61.88,31.08
2023,243,0,59.5,31.51
2023,244,0,54.31,31.72
2023,245,0,51.75,31.13
2023,246,0,50.75,31.31
2023,247,0,53.56,31.33
2023,248,0,58.38,31.34
2023,249,0.14,56.56,32.19
2023,250,0.03,53.06,32.25
2023,251,1.61,58.06,30.61
2023,252,9.95,72,29.26
2023,253,1.26,75.44,29.03
2023,254,0.05,65.5,30.03
2023,255,0.22,60.62,31.32
2023,256,0.25,62.94,31.58
2023,257,2.33,64,32.15
2023,258,1.36,69,31.05
2023,259,6.91,73.75,28.7
2023,260,5.02,83.19,27.63
2023,261,0.4,72.25,28.5
2023,262,0.08,67,30.32
2023,263,0.88,63.31,31.31
2023,264,0.92,64.81,31.22
2023,265,0.03,62.06,31.38
2023,266,5.12,65.94,30.51
2023,267,1.63,63.25,30.29
2023,268,0.02,60.69,29.58
2023,269,0,60.69,29.4
2023,270,0,56.12,28.46
2023,271,0,52.31,28.05
2023,272,0,48.56,28.44
2023,273,0,46.31,28.12
2023,274,0,43.19,28.13
2023,275,0,35.38,28.09
2023,276,0,37.94,27.65
2023,277,0,43.31,27.71
2023,278,0,41.88,27.94
2023,279,0,42.31,28.38
2023,280,0,45.69,29.41
2023,281,0,48.06,30.23
2023,282,0.58,48.12,30.5
2023,283,0.06,49.75,28.46
2023,284,0,44.62,27.33
2023,285,0,41.25,27.42
2023,286,0,40.69,28.47
2023,287,0.05,42.19,28.34
2023,288,6.78,47.56,27.65
2023,289,41.18,71.69,23.92
2023,290,0.26,66.88,22.95
2023,291,0,62.06,22.98
2023,292,0,58.94,23.16
2023,293,0,57.56,23.48
2023,294,0.01,53.56,23.76
2023,295,0.01,58.38,23.48
2023,296,0,61.38,23.47
2023,297,0,59.19,24.14
2023,298,0,57.5,23.83
2023,299,0,46.38,24.51
2023,300,0,45.5,24.61
2023,301,0,50,24.8
2023,302,0,49.69,25.23
2023,303,0,52.94,24.71
2023,304,0,51.81,24.49
2023,305,0,50.06,24.7
2023,306,0,37.06,26.15
2023,307,0.05,46.06,24.98
2023,308,0,40.5,24.94
2023,309,0,23.75,25.47
2023,310,0,22.88,25.15
2023,311,0,31.56,24.46
2023,312,0,35.38,24.85
2023,313,0,35.62,25.39
2023,314,0,53.12,21.03
2023,315,0,54.06,20.71
2023,316,0,44.25,21.4
2023,317,0,40.56,21.23
2023,318,0,40.38,20.83
2023,319,0,39.44,21.36
2023,320,0,40.88,21.98
2023,321,0,38.31,22.78
2023,322,0,43.5,22.17
2023,323,0,46.25,21.73
2023,324,0,46.94,21.11
2023,325,0,40.81,19.45
2023,326,0,36.06,20.26
2023,327,0,38.88,20.65
2023,328,0,36.81,20.49
2023,329,0,37.94,20.73
2023,330,0,43.69,20.3
2023,331,0.15,51.69,18.4
2023,332,0.49,56.44,19.76
2023,333,0.19,52.06,21.44
2023,334,0.37,59.69,20.93
2023,335,0.2,57.38,20.37
2023,336,0,47.12,19.64
2023,337,0,40,19.41
2023,338,0,37.75,18.76
2023,339,0,43.19,18.19
2023,340,0,36.25,19.21
2023,341,0,38.38,19.51
2023,342,0,38.56,18.84
2023,343,0,38.94,17.95
2023,344,0,38.5,17.16
2023,345,0,38.75,17.33
2023,346,0,40.38,16.73
2023,347,0,35.12,16.91
2023,348,0,35.12,17
2023,349,0,35.38,17.55
2023,350,0,37.44,16.9
2023,351,0,42.88,16.22
2023,352,0,43.56,14.86
2023,353,0,34.12,14.75
2023,354,0,35.38,15.75
2023,355,0,28.94,16.65
2023,356,0.04,25.88,17.33
2023,357,0,51.12,17.2
2023,358,0,47.56,17.11
2023,359,0,32.19,17.58
2023,360,0,33.75,17.5
2023,361,0,41.19,15.73
2023,362,0,54.56,15.11
2023,363,0.05,68.56,14.19
2023,364,0,61.19,14.5
2023,365,0,64.56,13.49
