Crop,Season,Sowing_min,Sowing_max,Harvest_min,Harvest_max,N_min,N_max,P_min,P_max,K_min,K_max,temperature_min,temperature_max,humidity_min,humidity_max,ph_min,ph_max,rainfall_min,rainfall_max,rainfall_category
Chilly,Kharif,June,July,October,December,36,102,80,134,103,198,25.8,37.2,48.3,85.3,4.5,7.8,168.7,232,2
Gram,Rabi,October,November,February,March,61,131,66,116,29,203,15.5,35.9,18,80.2,5.5,8,133,258.9,1
Maize,Kharif,June,November,September,March,52,121,90,119,124,198,15.7,27.8,17.3,90.4,4.7,7.3,97.2,293.1,1
Merigold,Kharif,June,July,September,October,98,119,77,110,137,184,16.3,34.7,44,87.5,5.2,7.6,127.4,188.3,1
Mustard,Rabi,October,November,February,March,11,124,82,128,140,187,24.4,37.9,55,90.3,4,7.1,32.2,293.9,1
Onion,Rabi,June,November,January,June,43,111,69,110,46,190,15.9,30.3,29.5,85.6,4.6,7,177,200,1
Palak,Rabi,October,February,Throughout the year,Multiple harvests,38,130,55,129,19,180,23.6,43.2,45.1,92.6,5.8,7.2,134.4,213.1,1
Pea,Rabi,October,November,February,March,27,123,74,125,49,193,18.3,30.8,26.6,85.5,4.9,7.6,81,197.1,1
Potato,Rabi,October,November,February,March,84,111,110,114,66,200,19.4,42.4,28.7,92.7,5.1,7.6,166.5,236.5,2
Radish,Rabi,October,December,January,March,48,110,58,110,179,184,22.5,39.7,56.5,82.2,5.5,7.3,80.8,230.6,1
Sugarcane,Kharif,October,March,9_after_sow,all,95,139,55,110,116,204,15.3,28.1,39.4,88.8,6.4,7.6,135.6,227.8,1
Sunflower,Rabi,January,July,April,October,0,137,61,134,139,183,17.2,28.4,40.8,89.3,4.6,7.6,63.7,230.4,1
Tomato,Kharif,June,November,September,April,100,130,20,130,72,184,12.3,41.1,46.3,87.2,4.9,7.3,91.6,261.2,1
Toria,Rabi,September,October,February,March,99,117,58,134,54,203,18.3,37.4,28.9,90.6,3.7,7.4,57.8,275.4,1
Turnip,Rabi,October,November,January,February,67,137,84,116,102,197,18,33.9,58.1,90.2,3.6,7.2,89.9,284.9,1
Wheat,Rabi,October,November,March,April,85,136,48,110,78,202,26.1,40.1,66,85,6.1,7.6,104.2,265.5,1
Kinnow,Rabi,July,August,November,February,13,129,98,136,72,185,12.3,36.1,59.7,92,4,7.5,97.2,281,1
Methi,Rabi,October,November,February,March,100,102,30,135,36,199,18.4,39.4,52.9,83.5,5.6,7.9,82.1,288.7,1
Garlic,Rabi,October,November,March,April,37,107,84,144,53,183,24.3,39.3,44.2,91.4,5,7.6,133.5,215.8,1
Gladiolus,Kharif,July,September,December,February,59,126,95,129,115,192,19.9,41.4,20.6,84.4,3.6,7.1,135.1,267.2,2
Lemon,Kharif,June,July,all,all,43,135,44,140,133,204,18.5,27.4,18.9,80.1,6.5,8,153.1,216.8,1
Strawberry,Rabi,September,October,December,March,45,124,27,120,74,184,20.7,36.4,76.8,93.6,4.9,7.1,85.8,205.3,1
Ridge Guard,Kharif,February,March,June,July,57,107,47,140,98,198,25.7,29.3,26.6,92.9,3.8,7.4,113.1,196.9,1
Round Melon,Kharif,January,February,April,May,57,136,101,144,126,202,23.2,31,72.3,92.9,6,7.3,101.8,249.7,1
Summer squash,Kharif,January,February,April,May,24,112,80,114,34,182,9,38.7,64.2,93.6,6,7.3,120.1,191.4,1
Bitter Gourd,Kharif,February,July,May,October,60,109,102,115,34,183,23.7,31.3,69.5,82.1,5.4,7.5,96.2,236.4,1
Bottle Gourd,Kharif,January,July,April,October,55,137,33,114,78,199,20.5,36.3,46.4,90.6,6.1,7.7,70.3,201.5,1
Coriander,Rabi,October,November,February,March,67,114,107,124,61,183,23.5,34.7,52,94.3,5,7.6,59.8,198.1,1
Cucumber,Kharif,February,July,May,October,35,140,32,129,136,203,24.2,40.6,51.9,88.2,6.2,7.1,40.1,263.9,1
Pumpkin,Kharif,February,July,April,October,78,104,24,117,17,199,13.5,31.6,49.3,93.8,5.3,7.9,161.6,236.2,1
Gerbera,Rabi,August,September,all,all,63,136,99,124,91,199,27,41,28,81.3,5.2,7.6,117.3,251.7,1
Knol-khol,Rabi,September,October,December,January,21,121,78,134,40,181,19.8,38.5,60.8,80,5.2,7.9,149.4,274.2,2
